timestep,reward,actor loss,critic loss
200,-1543.2713836060682,6.172106474786997,18.886878494024277
400,-1651.4290174852947,12.203182501792908,1.02940365254879
600,-1667.6897768529661,17.626875982284545,0.47280951619148254
800,-1583.1585277230142,23.582932205200194,0.30810237720608713
1000,-1409.0536937856666,29.47496054649353,0.3055116679519415
1200,-1518.462370267582,35.48456254005432,0.3337587892264128
1400,-1526.2616949119954,41.626405792236326,0.3700267990678549
1600,-1501.0728795452417,47.70953384399414,0.4094393350929022
1800,-1482.62593556544,53.68821016311645,0.4893983729183674
2000,-1445.4831076475468,59.41047235488892,0.5780513280630112
2200,-1485.6123094432562,65.59476985931397,0.624648952782154
2400,-1301.334364940044,71.09677478790283,0.6661414767801762
2600,-1497.3624894812774,76.29739238739013,0.8033305352926254
2800,-1458.6119720880356,80.92267654418946,1.5215359398722648
3000,-1532.690192887074,84.35825054168701,1.9362476348876954
3200,-1498.426452327951,88.15443424224854,2.120696913599968
3400,-279.0788557998264,91.60804485321044,2.1102158212661744
3600,-137.612056559636,93.79680252075195,2.212162428498268
3800,-261.73462702976394,96.0398066329956,1.9313353598117828
4000,-253.19587576973774,98.22844608306885,1.9925260400772096
4200,-3.9126525029860066,99.59749267578125,2.1792243242263796
4400,-359.379448340762,100.86131538391113,2.2999563908576963
4600,-1.3776829547837317,101.55726337432861,2.2028435188531876
4800,-114.5862159302386,102.24499782562256,2.013154926896095
5000,-116.92666770293515,103.3349927520752,1.8811733680963516
5200,-870.2711143039211,104.72873435974121,1.8546079289913178
5400,-3.171894445570162,106.11038688659669,2.010441172719002
5600,-367.00820172608377,106.87119022369384,2.0701505762338637
5800,-252.67309388205123,107.49025760650635,2.2725358909368514
6000,-114.73545143480864,108.3318985748291,2.413967071175575
6200,-129.35333970252813,107.98613582611084,2.6022693198919296
6400,-139.75036861938955,107.47846942901612,3.0154406023025513
6600,-129.73396423094664,107.72513206481933,3.156495269536972
6800,-130.91556712222044,107.46822036743164,3.118307511806488
7000,-128.91723734515057,106.67914554595947,3.366798779964447
7200,-126.82320424252376,105.80021728515625,3.3942195057868956
7400,-129.0255519483345,104.04231182098388,3.6203443467617036
7600,-310.53247569757895,103.46291763305663,3.9073405647277832
7800,-242.1504430246676,102.24867160797119,4.3493288397789005
8000,-235.45485685389892,101.13525096893311,4.632706179618835
8200,-245.03126924182354,100.28958820343017,5.231484205722809
8400,-128.50411496725397,98.51998676300049,5.213107599020004
8600,-131.24258921470798,97.5850330734253,5.67877429485321
