timestep,reward,actor loss,critic loss
200,-1464.2138372591523,2.4772006648778917,45.84401751518249
400,-1667.6521414072517,8.72704820394516,10.346611902713775
600,-1830.8028058361713,13.800708541870117,5.35848756313324
800,-1475.9881560534468,19.24085079193115,1.5236558067798613
1000,-1667.8530875677081,25.121420040130616,1.066808299124241
1200,-1481.0174710071808,31.179950981140138,0.9700546351075172
1400,-1505.5842771574487,37.32404973983765,1.064293037056923
1600,-1785.9924188658326,43.64211391448975,1.1459846034646035
1800,-1652.8376589288052,50.23832443237305,1.1737603241205214
2000,-1179.450046910563,56.199779472351075,1.2284609016776085
2200,-1288.8682357281705,62.11917602539062,1.3363396155834197
2400,-1346.7108174462442,67.64650302886963,1.4083625662326813
2600,-1188.250226046012,72.87213352203369,1.7185058724880218
2800,-1457.8868531652354,77.78378524780274,2.548178421854973
3000,-523.9365274385868,82.06553203582763,2.9949770802259446
3200,-523.3833428703167,85.08371448516846,3.4659886741638184
3400,-941.5169039936936,88.87476242065429,3.6584080588817596
3600,-717.8633816725965,91.90812473297119,3.9017984867095947
3800,-870.1322749562119,94.93409774780274,4.172694221735001
4000,-905.6961691476996,97.74347232818603,4.3962701177597046
4200,-933.5749570214072,100.25544830322265,4.521564433574676
4400,-922.6064712660253,102.72097366333008,4.593342671394348
4600,-912.4791472683029,105.34594215393066,4.569575530290604
4800,-918.3333159755248,108.22622718811036,4.494819425344467
5000,-1026.2309661233312,111.33155544281006,4.403118259906769
5200,-1308.1873049586723,115.07751289367675,4.229843488931656
5400,-1509.26819519571,119.1205115890503,4.03034923195839
5600,-951.3024120585306,123.15392940521241,3.8685829639434814
5800,-647.2362592799238,125.94681900024415,3.7731357181072234
6000,-1159.3649220269235,129.12441181182862,3.700370703935623
6200,-904.0253050057256,132.1477473831177,3.5896344423294066
6400,-1099.6742585203326,134.7139239883423,3.597582896947861
6600,-1127.65486738819,137.5662749481201,3.7211940944194795
6800,-1219.3939472519785,140.22556747436522,3.941735495328903
7000,-1218.205048264463,142.92232498168946,4.179023213386536
7200,-1129.6445205726893,146.0561724090576,4.356717541217804
7400,-1052.784412819804,148.18206863403321,4.709430909156799
7600,-1057.8690790421508,150.70355102539062,4.9248080158233645
7800,-1014.3121304366765,153.10283714294434,5.350532777309418
8000,-913.2827050498641,155.34318351745605,5.820865788459778
8200,-771.5500789298502,157.5046488189697,6.048561451435089
8400,-639.4462832596606,159.3981147003174,6.458115046024322
8600,-915.0401790727433,161.34331428527832,6.818063287734986
8800,-878.4864186899036,162.5187425994873,7.094880177974701
9000,-885.7666952171087,164.5683307647705,7.045688004493713
9200,-874.6496754866845,166.38276168823242,7.075779201984406
9400,-881.3111915779261,167.43189445495605,7.225099160671234
9600,-652.026165886043,169.4853088378906,7.21499223947525
9800,-769.9299324363741,170.51582885742187,7.435055944919586
10000,-807.6757737027726,172.27494873046874,7.687596609592438
10200,-620.6110052043856,173.3688249206543,7.755989265441895
10400,-513.2385201935282,174.9614942932129,7.702043552398681
10600,-378.8814385196684,175.98922943115235,7.54706167936325
10800,-617.374389315345,176.93186714172364,7.5877145528793335
11000,-508.00053604888393,177.8593076324463,7.590082454681396
11200,-495.22196094214576,178.70323287963868,7.645868370532989
11400,-734.9462312694995,179.90340728759764,7.626933228969574
11600,-615.6712547433981,180.57927398681642,7.798355693817139
11800,-505.4013331071878,181.89792129516601,7.557491810321808
