time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/learning_rate,train/loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/n_updates
5,2048,1,22.61111111111111,22.61111111111111,345,,,,,,,,,,
12,4096,2,25.94,25.94,325,-0.6867542989552021,0.00915018,-0.009886384010314941,0.2,0.0003,10.010592460632324,54.458721575140956,-0.012368589482503013,0.08447265625,10
19,6144,3,33.28,33.28,309,-0.6694591496139765,0.00964548,0.054982125759124756,0.2,0.0003,15.293346405029297,38.78456092476845,-0.014848785632057115,0.05771484375,20
27,8192,4,44.71,44.71,296,-0.6360690344125033,0.008455606,0.216008722782135,0.2,0.0003,25.25389862060547,53.71404346227646,-0.019963202020153403,0.082373046875,30
34,10240,5,60.45,60.45,293,-0.6152761368080973,0.008203855,0.4243953227996826,0.2,0.0003,29.66580581665039,49.459711474180224,-0.017168651736574246,0.08134765625,40
42,12288,6,73.52,73.52,291,-0.6022255862131715,0.006487158,0.549146831035614,0.2,0.0003,22.027830123901367,55.297615146636964,-0.011817045710631646,0.053662109375,50
49,14336,7,90.52,90.52,290,-0.5815224254503846,0.00496783,0.6990279853343964,0.2,0.0003,14.418575286865234,52.287183129787444,-0.010016790786175988,0.049462890625,60
56,16384,8,106.81,106.81,289,-0.5813692063093185,0.0102043925,0.7462287247180939,0.2,0.0003,13.91744327545166,46.358279657363894,-0.011757215653778985,0.10771484375,70
63,18432,9,126.99,126.99,288,-0.5756200801581144,0.0032238758,0.5542665421962738,0.2,0.0003,23.499588012695312,60.84799868762493,-0.0036579156236257403,0.02275390625,80
70,20480,10,144.48,144.48,288,-0.5739557264372707,0.00343566,0.8320859968662262,0.2,0.0003,4.4957661628723145,37.68372588828206,-0.006104703547316603,0.040869140625,90
78,22528,11,163.03,163.03,287,-0.5851541316136718,0.009393062,0.9490555226802826,0.2,0.0003,2.5865511894226074,13.625857618451118,-0.009544567769626155,0.072900390625,100
85,24576,12,180.62,180.62,287,-0.5617484122514724,0.0043072393,0.6613676249980927,0.2,0.0003,9.447232246398926,43.28063229173422,-0.005358246940886602,0.021044921875,110
92,26624,13,198.58,198.58,287,-0.565772483497858,0.009342335,0.7680958807468414,0.2,0.0003,0.17377464473247528,5.410268565546721,-0.006168167846044526,0.055126953125,120
99,28672,14,216.08,216.08,287,-0.5445161800831556,0.005347288,0.46534138917922974,0.2,0.0003,0.19330279529094696,3.0685814383788967,-0.005028169891738798,0.054638671875,130
107,30720,15,234.35,234.35,286,-0.5533879796974361,0.0032851608,-0.002871394157409668,0.2,0.0003,0.02874569594860077,2.1054220238060224,-0.003256616476573981,0.05,140
114,32768,16,250.92,250.92,286,-0.567918049916625,0.0073993625,0.4160109758377075,0.2,0.0003,-0.01105538010597229,1.2791270923102274,-0.00754208933794871,0.07060546875,150
121,34816,17,272.39,272.39,286,-0.5547663532197475,0.005943301,-0.04145538806915283,0.2,0.0003,0.07646782696247101,0.7899989099256345,-0.002346871595364064,0.047119140625,160
128,36864,18,288.68,288.68,285,-0.5603990467265249,0.0015571458,0.018088221549987793,0.2,0.0003,64.04064178466797,84.93175998181104,-0.004608541556808632,0.00751953125,170
